4123 3 16
4104 1 3967 62429032064
4104 1 3966 62381832697
4104 1 3965 62334657126
4104 1 3964 62287505345
4104 1 3963 62240377348
4104 1 3962 62193273129
4104 1 3961 62146192682
4104 1 3960 62099136001
4104 1 3959 62052103080
4104 1 3958 62005093913
4104 1 3957 61958108494
4104 1 3956 61911146817
4104 1 3955 61864208876
4104 1 3954 61817294665
4104 1 3953 61770404178
4104 1 3952 61723537409
4104 1 3951 61676694352
4104 1 3950 61629875001
4104 1 3949 61583079350
4104 1 3948 61536307393
4104 1 3947 61489559124
4104 1 3946 61442834537
4104 1 3945 61396133626
4104 1 3944 61349456385
4104 1 3943 61302802808
4104 1 3942 61256172889
4104 1 3941 61209566622
4104 1 3940 61162984001
4104 1 3939 61116425020
4104 1 3938 61069889673
4104 1 3937 61023377954
4104 1 3936 60976889857
4104 1 3935 60930425376
4104 1 3934 60883984505
4104 1 3933 60837567238
4104 1 3932 60791173569
4104 1 3931 60744803492
4104 1 3930 60698457001
4104 1 3929 60652134090
4104 1 3928 60605834753
4104 1 3927 60559558984
4104 1 3926 60513306777
4104 1 3925 60467078126
4104 1 3924 60420873025
4104 1 3923 60374691468
4104 1 3922 60328533449
4104 1 3921 60282398962
4104 1 3920 60236288001
4104 1 3919 60190200560
4104 1 3918 60144136633
4104 1 3917 60098096214
4104 1 3916 60052079297
4104 1 3915 60006085876
4104 1 3914 59960115945
4104 1 3913 59914169498
4104 1 3912 59868246529
4104 1 3911 59822347032
4104 1 3910 59776471001
4104 1 3909 59730618430
4104 1 3908 59684789313
4104 1 3907 59638983644
4104 1 3906 59593201417
4104 1 3905 59547442626
4104 1 3904 59501707265
4104 1 3903 59455995328
4104 1 3902 59410306809
4104 1 3901 59364641702
4104 1 3900 59319000001
4104 1 3899 59273381700
4104 1 3898 59227786793
4104 1 3897 59182215274
4104 1 3896 59136667137
4104 1 3895 59091142376
4104 1 3894 59045640985
4104 1 3893 59000162958
4104 1 3892 58954708289
4104 1 3891 58909276972
4104 1 3890 58863869001
4104 1 3889 58818484370
4104 1 3888 58773123073
4104 1 3887 58727785104
4104 1 3886 58682470457
4104 1 3885 58637179126
